time,high,low,close,volume
2019-06-26 20:00:00,131.341975902,131.116454032,131.341975902,4870
2019-06-26 19:00:00,131.312560006,131.13606463,131.13606463,2555
2019-06-26 18:00:00,131.312560006,131.106648734,131.243922915,3850
2019-06-26 17:00:00,131.391002395,131.096843435,131.155675227,969237
2019-06-26 16:00:00,131.611621616,131.224312318,131.322365305,2725781
2019-06-26 15:00:00,131.645940161,130.998790448,131.239020266,1738756
2019-06-26 14:00:00,132.381337563,131.312560006,131.513568629,2845520
2019-06-26 13:00:00,132.449974654,132.214647485,132.37927845,1774934
2019-06-26 12:00:00,132.499001147,132.042662546,132.273479277,2161073
2019-06-26 11:00:00,132.930434289,132.1067892,132.410753459,3317994
2019-06-26 10:00:00,133.097124367,131.556025572,132.891213094,4075666
2019-06-26 09:00:00,132.342116368,131.155675227,131.596913668,83013
2019-06-26 08:00:00,132.322505771,131.959709719,132.146010394,42261
2019-06-26 07:00:00,132.371532264,131.998930914,132.263673979,11069
2019-06-26 06:00:00,132.371532264,131.587108369,132.136205096,5411
2019-06-26 05:00:00,131.459639486,131.341975902,131.341975902,3193
2019-06-25 20:00:00,131.096843435,130.704631487,130.851710968,20209
2019-06-25 19:00:00,131.096843435,130.998790448,131.047816941,4274
2019-06-25 18:00:00,131.087038136,130.930153357,131.077232838,36404
2019-06-25 17:00:00,131.067427539,130.802684474,131.05762224,1211749
2019-06-25 16:00:00,131.028206344,130.31241954,130.83210037,6165159
2019-06-25 15:00:00,131.302754707,130.145729462,130.591870553,3648692
2019-06-25 14:00:00,131.645940161,130.76346328,131.229214967,3258995
2019-06-25 13:00:00,132.146010394,131.106648734,131.332170603,3646855
2019-06-25 12:00:00,132.577443537,131.851851434,131.910683226,3183269
2019-06-25 11:00:00,133.626610496,131.95480707,132.033445565,5993783
2019-06-25 10:00:00,134.911104624,133.410893925,133.567778704,3567568
2019-06-25 09:00:00,134.969936416,134.479671482,134.695388053,37934
2019-06-25 08:00:00,134.86207813,134.528697975,134.852272832,24513
2019-06-25 07:00:00,134.813051637,134.528697975,134.734609247,3041
2019-06-25 06:00:00,134.822856936,134.626750962,134.822856936,1630
2019-06-25 05:00:00,134.822856936,134.675777455,134.773830442,4923
2019-06-24 20:00:00,135.215068883,135.126821195,135.195458286,8451
