time,high,low,close,volume
2019-06-26 20:00:00,43.82,43.676,43.676,19575
2019-06-26 19:00:00,43.878,43.67002,43.708,14610
2019-06-26 18:00:00,43.8,43.67,43.67,38895
2019-06-26 17:00:00,43.91,43.496,43.73,429135
2019-06-26 16:00:00,43.908,43.654,43.836,4767110
2019-06-26 15:00:00,43.95084,43.62,43.734,3399220
2019-06-26 14:00:00,44.27752,43.744,43.904,4182390
2019-06-26 13:00:00,44.64,44.08288,44.11006,4021500
2019-06-26 12:00:00,44.978,44.122,44.498,6602300
2019-06-26 11:00:00,45.446,44.776,44.8209,10681270
2019-06-26 10:00:00,45.114,43.76,45.026,7317975
2019-06-26 09:00:00,44.36,43.8,43.89402,195040
2019-06-26 08:00:00,44.356,43.948,44.162,138465
2019-06-26 07:00:00,44.168,43.54,43.92,98985
2019-06-26 06:00:00,44.6,43.306,43.484,158995
2019-06-26 05:00:00,44.398,44.204,44.304,11660
2019-06-25 20:00:00,44.186,44.02,44.02,30865
2019-06-25 19:00:00,44.1,44.072,44.1,5730
2019-06-25 18:00:00,44.15,44.02,44.15,43930
2019-06-25 17:00:00,44.046,43.93,44.046,230930
2019-06-25 16:00:00,44.31376,43.918,43.954,3957150
2019-06-25 15:00:00,44.47026,43.9436,44.1835,3465910
2019-06-25 14:00:00,44.51284,44.0,44.472,3321645
2019-06-25 13:00:00,44.21,44.022,44.15758,2333825
2019-06-25 12:00:00,44.3099,43.944,44.136,5925115
2019-06-25 11:00:00,44.816,43.898,44.008,6883750
2019-06-25 10:00:00,45.068,44.47,44.788,3758335
2019-06-25 09:00:00,44.862,44.48398,44.85,138150
2019-06-25 08:00:00,44.65,44.45,44.65,59100
2019-06-25 07:00:00,44.468,44.446,44.468,11940
2019-06-25 06:00:00,44.686,44.45,44.45,7805
2019-06-25 05:00:00,44.702,44.702,44.702,500
2019-06-24 20:00:00,44.88,44.74,44.86,18295
2019-06-24 19:00:00,44.9,44.738,44.9,11540
2019-06-24 18:00:00,44.8,44.708,44.8,20480
2019-06-24 17:00:00,44.78,44.7,44.762,73860
2019-06-24 16:00:00,45.058,44.712,44.728,3972295
2019-06-24 15:00:00,45.04,44.784,44.94316,3552690
2019-06-24 14:00:00,44.794,44.53,44.786,1821605
2019-06-24 13:00:00,44.794,44.412,44.57,3317960
2019-06-24 12:00:00,44.73,44.35062,44.718,3562940
2019-06-24 11:00:00,44.848,44.402,44.55,5534000
2019-06-24 10:00:00,45.172,44.204,44.482,5804975
2019-06-24 09:00:00,44.788,44.4,44.62,115830
2019-06-24 08:00:00,44.502,44.336,44.472,42075
2019-06-24 07:00:00,44.586,44.4,44.478,14140
2019-06-24 06:00:00,44.666,44.52,44.52,3215
2019-06-24 05:00:00,44.7,44.3,44.62,8420
2019-06-21 20:00:00,44.34598,44.3,44.3,6450
2019-06-21 19:00:00,44.36,44.28,44.28,24005
2019-06-21 18:00:00,44.32,44.182,44.3,43895
2019-06-21 17:00:00,44.42,44.22,44.316,493265
2019-06-21 16:00:00,44.396,44.008,44.378,8098765
2019-06-21 15:00:00,44.14178,43.904,44.026,3340230
2019-06-21 14:00:00,43.96794,43.758,43.926,2327815
2019-06-21 13:00:00,43.958,43.57,43.876,3133460
2019-06-21 12:00:00,44.2237,43.706,43.895,5652795
2019-06-21 11:00:00,44.436,43.572,44.10686,7547610
2019-06-21 10:00:00,43.84,43.1,43.82296,8325980
2019-06-21 09:00:00,43.6,43.37,43.55,127230
2019-06-21 08:00:00,43.6,43.394,43.518,91975
2019-06-21 07:00:00,43.444,43.3,43.444,12530
2019-06-21 06:00:00,43.534,43.278,43.36,27990
2019-06-21 05:00:00,43.88,43.498,43.498,7845
2019-06-20 20:00:00,43.9,43.82,43.9,23400
2019-06-20 19:00:00,43.926,43.79,43.832,33470
2019-06-20 18:00:00,43.924,43.89,43.924,39925
2019-06-20 17:00:00,43.98,43.79,43.83,171900
2019-06-20 16:00:00,43.99,43.27,43.918,7355605
2019-06-20 15:00:00,44.084,43.28,43.45,5149745
2019-06-20 14:00:00,44.12,43.84,43.988,3032410
2019-06-20 13:00:00,44.056,43.582,44.0015,6236355
2019-06-20 12:00:00,44.458,43.556,43.84292,12079180
2019-06-20 11:00:00,45.2,44.172,44.244,9288145
2019-06-20 10:00:00,45.38,44.022,44.95786,13525590
2019-06-20 09:00:00,45.25598,44.49,44.74,693800
2019-06-20 08:00:00,45.268,44.784,44.798,454375
2019-06-20 07:00:00,45.74,45.072,45.156,257970
